S.NO.,NAME OF THE INSTITUTE,THEMES/TOPICS,DURATION OF THE COURSE IN YEAR 2022-2023,NO. OF OFFICERS NOMINATED IN YEAR 2022-2023,NO. OF OFFICERS PARTICIPATED IN YEAR 2022-2023,PERCENTAGE OF PARTICIPATED OFFICERS IN YEAR 2022-2023
1,"Institute of Wood Science and Technology, Bangalore",Advances in Wood Production and Utilization,18/04/2022 To 22/04/2022,37,14,37.84
2,"Wildlife Institute of India (WII), Dehradun",Addressing challenges and managing human-wildlife conflict in India,16/05/2022 To 20/05/2022,36,16,44.44
3,"Dr. R.S. Tolia, Uttarakhand Academy of Administration, Nainital",Good Governance,16/05/2022 To 20/05/2022,48,22,45.83
4,"Indian Institute of Bio-Social Research and Development, Kolkata",Integrated forest mosaic landscape management for sustainable tribal development,23/05/2022 To 27/05/2022,38,10,26.32
5,"Indian Institute of Public Administration (IIPA), New Delhi",Concurrent Monitoring & evaluation of schemes - responsibilities of implementing officers,23/05/2022 To 27/05/2022,42,12,28.57
6,"Jungle Lodges and Resorts Limited, Bangalore",Ecotourism vis-a-vis Conservation of Forests,06/06/2022 To 10/06/2022,39,30,76.92
7,"Himalayan Forest Research Institute (HFRI), Shimla","Insect pest management in forest nurseries, plantation and natural forests",06/06/2022 To 10/06/2022,46,22,47.83
8,"The ICFAI Law School, Hyderabad",Intellectual Property Rights and WTO Accountability - Scope of Patenting,06/06/2022 To 10/06/2022,40,13,32.5
9,"Administrative Training Institute (ATI), Kolkata",Effective Leadership & Conflict Resolution,13/06/2022 To 17/06/2022,38,11,28.95
10,"The Energy and Resources Institute (TERI), New Delhi",Significance and scope of REDD/REDD+ for India's forests,13/06/2022 To 15/06/2022,41,23,56.1
11,"O.P. Jindal Institute of Leadership Development and Executive Education, Sonipat, Haryana",Public Policy & Governance,20/06/2022 To 24/06/2022,36,12,33.33
12,"Indian Institute of Forest Management, Bhopal",Forests and Climate Change: Opportunities and Challenges of Adaptation and Mitigation,21/06/2022 To 23/06/2022,41,14,34.15
13,"Institute of Forest Genetics and Tree Breeding, Coimbatore",Forest Genetic Resource Management,04/07/2022 To 08/07/2022,36,15,41.67
14,IORA Ecological Solutions Pvt. Ltd. New Delhi,Significance and scope of REDD+/REDD+ for Indian forest,11/07/2022 To 15/07/2022,43,19,44.19
15,"Indian Institute of Forest Management, Bhopal",Forest ecosystem valuation and green GDP,18/07/2022 To 22/07/2022,43,14,32.56
16,"VYAKTI VIKAS KENDRA, Art of Living, Bengaluru",Building Competencies for Personal Excellence,18/07/2022 To 20/07/2022,46,19,41.3
17,"ENgineering Staff College of India (ESCI), Hyderabad","Application of modern it techniques including use of GIS in combination with remote sensing, use of drones, etc.",18/07/2022 To 20/07/2022,39,16,41.03
18,"Indian Plywood Industries Research & Training Institute (IPIRTI), Bangalore",Advances in Wood Production and Utilization,01/08/2022 To 03/08/2022,40,11,27.5
19,"Forest Research Instiute (FRI), Dehradun",Forest Fire Monitoring and Damage Assessment,01/08/2022 To 05/08/2022,41,23,56.1
20,"The West Bengal National University of Juridical Sciences, Kolkata",Legal framework on wetland management and conservation in India,01/08/2022 To 05/08/2022,37,13,35.14
21,"Institute of Wood Science and Technology, Bangalore","Integrated pest and disease management in nurseries, plantation and forest",03/08/2022 To 05/08/2022,39,19,48.72
22,"Indian Institute of Remote Sensing (IIRS), Dehradun","Advances in RS, GIS and GNSS applications in forestry",22/08/2022 To 26/08/2022,39,0,0
23,"Bankers Institute of Rural Development (BIRD),Lucknow",Rural Financing and Climate Change,22/08/2022 To 26/08/2022,42,16,38.1
24,"Gujarat Environment Management Institute (GEMI), Gujarat",ENVIRONMENTAL Methods for Water Quality Restoration,05/09/2022 To 09/09/2022,41,25,60.98
25,"Institute of Forest Productivity (IFP), Ranchi",Livelihood Enhancement Strategies in Forest Fringe Villages,12/09/2022 To 16/09/2022,43,15,34.88
26,"Forest Survey of India (FSI), Dehradun",GIS Based Monitoring of CAMPA Activities,13/09/2022 To 15/09/2022,39,17,43.59
27,"Jungle Lodges and Resorts Limited, Bangalore",Eco-Tourism Assessment & Development,19/09/2022 To 23/09/2022,35,25,71.43
28,"Goa Institute of Training & Studies (GITS), Goa",Stress Management & work-life balance strategies,19/09/2022 To 23/09/2022,38,25,65.79
29,"Amity University, Noida",Forest based Handicrafts and International Trade,26/09/2022 To 30/09/2022,41,20,48.78
30,"Shri Mata Vaishno Devi University, Katra",Team work competencies for high performances,10/10/2022 To 14/10/2022,44,20,45.45
31,"Chandrapur Forest Academy of Administration, Development Research & Management Academy Chandrapur, Maharashtra",Best Practices of human & wildlife conflict mitigation & damage control,11/10/2022 To 13/10/2022,40,22,55
32,"Indira Gandhi National Forest Academy, Dehradun",Best Practices in Forestry,17/10/2022 To 21/10/2022,36,19,52.78
33,"The Energy and Resources Institute (TERI), New Delhi",Forest and Climate Change: Opportunities and Challenges of Adaptation and Mitigation,17/10/2022 To 21/10/2022,39,15,38.46
34,"Kerala Forest Research Institute (KFRI), Peechi",Conservation and Development of Medicinal Plants and benefit sharing with local communities,17/10/2022 To 21/10/2022,45,24,53.33
35,"XIM University, Bhubaneswar",Art of Interacting with Print and Electronic Media,07/11/2022 To 11/11/2022,37,11,29.73
36,"Indira Gandhi National Forest Academy, Dehradun",Regaining global leadership in forest sector developments : Lessons from a round the world,08/11/2022 To 10/11/2022,39,16,41.03
37,"Om Shanti Retreat Centre, Prajapita Brahma Kumaris Ishwariya Vishwa Vidyalaya, Gurgaon",The Motivation Mantras,09/11/2022 To 11/11/2022,42,11,26.19
38,"Centre for Training & Management of Soil, Water & Forests, Kanpur",Water Conservation and Rain Water Harvesting,14/11/2022 To 16/11/2022,39,21,53.85
39,"Rain Forest Research Institute (RFRI), Jorhat",Bamboo Resource Development for addressing Livelihood Concerns of Communities,14/11/2022 To 18/11/2022,40,20,50
40,"Goa Institute of Training & Studies (GITS), Goa",Communication and Presentation Skills,14/11/2022 To 18/11/2022,55,41,74.55
41,"VYAKTI VIKAS KENDRA, Art of Living, Bengaluru",Building Competencies for Personal Excellence,14/11/2022 To 18/11/2022,43,19,44.19
42,"Amity University, Noida",Contribution of Forests Plantation in Livelihood Support and Industrial Production,16/11/2022 To 18/11/2022,37,19,51.35
43,"Mahatma Gandhi Institute of Rural Energy & Development (MGIRED), Bangalore","Alternate energy sources, water conservation and solid waste management",21/11/2022 To 25/11/2022,37,16,43.24
44,"National Law School of India University (NLSIU), Bangalore","Environmental Law, benefit sharing and forest governance",05/12/2022 To 09/12/2022,34,17,50
45,"Chandrapur Forest Academy of Administration, Development Research & Management Academy Chandrapur, Maharashtra",Eco-Tourism in wildlife & habitat management,05/12/2022 To 09/12/2022,43,18,41.86
46,"Wildlife Institute of India (WII), Dehradun","INTERNATIONAL CONVENTIONS and their synergies with respect to climate change, forestry, wildlife and biodiversity conservation",07/12/2022 To 09/12/2022,38,12,31.58
47,"Arid Forest Research Institute (AFRI), Jodhpur",Integrated Approach for Sustainable Development of Fragile Desert Eco System,12/12/2022 To 16/12/2022,39,19,48.72
48,"SAlim Ali Centre for Ornithology and Natural History (SACON), Coimbatore",Monitoring and Management of Wetland,13/12/2022 To 15/12/2022,43,23,53.49
49,"COllege of Veterinary Science, Assam Agricultural University, Guwahati",Importance of Forensics: Wild Animal Conservation and Prevention of Wildlife crime,19/12/2022 To 23/12/2022,33,16,48.48
50,"Indian Plywood Industries Research & Training Institute (IPIRTI), Bangalore",Bamboo/Wood Resource Development and Value Addition for Sustained Livelihood,09/01/2023 To 13/01/2023,0,0,0
